当前帧率,关键点,X,Y
1,0,788,214
1,1,799,191
1,2,804,190
1,3,810,189
1,4,795,192
1,5,796,192
1,6,797,191
1,7,856,193
1,8,834,201
1,9,804,233
1,10,797,234
1,11,1000,304
1,12,807,345
1,13,1101,440
1,14,734,472
1,15,997,401
1,16,619,394
1,17,966,409
1,18,581,374
1,19,949,399
1,20,587,359
1,21,954,396
1,22,603,363
1,23,971,595
1,24,836,594
1,25,1087,772
1,26,655,726
1,27,1110,942
1,28,693,922
1,29,1091,968
1,30,726,960
1,31,1154,1017
1,32,591,974
2,0,789,214
2,1,800,191
2,2,806,190
2,3,812,189
2,4,795,192
2,5,796,192
2,6,797,191
2,7,856,194
2,8,835,201
2,9,804,233
2,10,797,234
2,11,997,304
2,12,807,345
2,13,1100,441
2,14,734,473
2,15,997,398
2,16,616,393
2,17,968,407
2,18,579,374
2,19,950,398
2,20,585,359
2,21,954,394
2,22,600,363
2,23,970,593
2,24,834,590
2,25,1087,771
2,26,655,725
2,27,1110,941
2,28,692,922
2,29,1091,968
2,30,723,959
2,31,1152,1018
2,32,586,974
