当前帧率,关键点,X,Y
3,0,0.501459956,0.331700534
3,1,0.503170371,0.313835651
3,2,0.505819619,0.313041836
3,3,0.508515,0.310303301
3,4,0.496913373,0.317327976
3,5,0.495570809,0.317687422
3,6,0.494239718,0.317529589
3,7,0.519279778,0.30752176
3,8,0.497015327,0.317639738
3,9,0.511181593,0.342022866
3,10,0.503452957,0.346803278
3,11,0.588179827,0.383476675
3,12,0.475982517,0.411739141
3,13,0.669000447,0.469952673
3,14,0.390936971,0.414885402
3,15,0.753800988,0.520108759
3,16,0.308630586,0.367065698
3,17,0.785575211,0.530463159
3,18,0.284581065,0.358693272
3,19,0.789978623,0.528087795
3,20,0.284533352,0.351434141
3,21,0.777881265,0.527757764
3,22,0.294299752,0.355117381
3,23,0.630519509,0.630846739
3,24,0.562225938,0.634870708
3,25,0.758971393,0.737000406
3,26,0.449189365,0.618362367
3,27,0.879179597,0.82197696
3,28,0.462878048,0.822878659
3,29,0.885661721,0.828986108
3,30,0.484665006,0.856446803
3,31,0.920772195,0.873833477
3,32,0.401960671,0.870123446
