当前帧率,关键点,X,Y
5,0,0.410915494,0.196016252
5,1,0.41725269,0.17669794
5,2,0.420073628,0.175638989
5,3,0.423442096,0.174319297
5,4,0.414188534,0.177431569
5,5,0.41444242,0.177138805
5,6,0.414919496,0.176576152
5,7,0.445085317,0.179621175
5,8,0.434652984,0.185276747
5,9,0.419043332,0.213620871
5,10,0.415034592,0.215079367
5,11,0.518060505,0.281358689
5,12,0.418115497,0.322379768
5,13,0.572583079,0.409886807
5,14,0.382237166,0.440090269
5,15,0.519170463,0.368620217
5,16,0.320602536,0.364552617
5,17,0.505062759,0.377287239
5,18,0.301567227,0.348326921
5,19,0.495622426,0.367715329
5,20,0.30447039,0.334551752
5,21,0.498050898,0.364359707
5,22,0.312287152,0.338072598
5,23,0.505938232,0.549432874
5,24,0.43391788,0.545546651
5,25,0.567172825,0.715070486
5,26,0.341287524,0.67214483
5,27,0.578196526,0.87247628
5,28,0.359692723,0.854391336
5,29,0.569213688,0.895930707
5,30,0.37489292,0.885736644
5,31,0.598264158,0.946551442
5,32,0.303816229,0.902089953
